Comments,Sentiment
padahal tim gedget in. pasarin produk mereka secara gratis. dan tim gedget in itu netral. seharusnya terima kritikan agar kedepannya bisa lebih baik lagi. dlu david roasting infinix spiker mono dll. skrnag infinix jauh lebih berkembang. lu itu kudu terima kritikan. mlh bawa2 produk korsel .,negatif
kelar udah,negatif
semangat buat salesnya oppo ya  penjualannya anjlok,negatif
"hp gampang rusak oppo, punya saudara saya servis berkali kali padahal baru 1 tahun pemakaian",negatif
loh laptopnya kok gak pake machbook apple kaya sebelumnya?,negatif
mediatek terossssss....noh  laen udah snap gen,negatif
aura soiyehnya kuat bgt,negatif
blunder parah dari pihak oppo. inilah kalau cmo diangkat bukan karna kompetensi.,negatif
"sibuk edit logo apel di menit <a href="" medianya ktar ktir",negatif
lah mana logo buahnya,negatif
pls @gtid gas ni badoet,negatif
lawak,negatif
setelah kejadian ini david : &quot;gw gamau review brand ini lagi yang anti kritik dan malah jelekin brand lain&quot;  apa gak takut merosot penjualan lu,negatif
blunder,negatif
oppo hp orang tua boomer kemakan omongan sales,negatif
"najis banget sama brand anti kritik  bukanya memperbaiki diri malah nyenggol brand lain, compare brand lain, ditanyain tentang haptic vibration bilangnya mengutamakan performa giliran peerformanya di kritik ga sesuai malah bilang mengutamakan efisiensi dan daya seimbang  sales lawak emang, udah lah akui aja emang produknya bobrok ga usah banyak ngeles, lagian viewers lebih percaya ke gadgetin yang udah ratusan kali nyoba berbagai macam hp dari yang entry sampe flagship, lah sedangkan elu apa? bela? bela oppo tapi pake macbook  damnn",negatif
ngomong apa kentut,negatif
oppo indonesia  oppo jaksel,negatif
elu nyampur2 bahasa indonesia sama inggrisnya biki geli woy,negatif
"apple : asek promosi gratis, thx king badut of the month ",negatif
badut of the month,negatif
"<a href="" malah promosiin brand lain  (lihat logo laptop nya) walaupun ke sensor dikit  mungkin lupa digaji editornya",negatif
"1. ai? buat ap boss... jujur website udh bnyk tu yang menyediakan ai. 2. kamera?  orang lebih milih produk &quot;buah&quot;. 3. layar? secara spesifik diatas kertas keunggulan cuma gorilla glass victus 2 saja sisanya apa kabar. 4. harga? gk masuk diakal. target pasarnya siapa? orang tua (brand hp  disegol pake exynos 2200), anak muda (boba/performa).  lebih baik oppo berbenah, cek market dan target pasar ada itu siapa. sekian terimakasih.  saran saya. lebih baik terima kritik/masukan dengan baik, kemudian coba terapkan di 1 produk.",negatif
haha lawak lu bang,negatif
"brand sebesar oppo dikritik bukan nya berbenah malah bikin video alay kek gini,  asli bakal jadi blunder ini mah, penjualan oppo bakal turun drastis ini",negatif
wkwkkwkw ngaur ngidul,negatif
ini harus pakai buzzer bro biar menangkal sidavid bobroknya oppo,negatif
ayo gtid roasting badut satu inii,negatif
"opo bisa laku ya hanya karna selesnya  bisa aja jualannya, apalagi targetnya orang tua, coba semua selesnya netral, ya tau lah apayg terjadi",negatif
badut ini adalah cmo oppo??? pantesan aja produk nya sampah...,negatif
"mohon rapat minggu ini, tim marketing dan decision making-nya minimal dapat sesi tersendiri. boleh 1 atau 2 jam.",negatif
akuin aja lah harga di kelas hp 9jt an produk ini gk woth buat di beli. se simple itu,negatif
ternyata xiomi ga buruk2 amat,negatif
oppo‍,negatif
"om nya ini lagi pilek ya, suaranya bindeng gitu",negatif
sekelas smasnug brand rivalnya buah2 an disenggol akwkwkk let&#39;s see how it&#39;s goin,negatif
cepat atau lambat  produk atau brand yang anti kritik akan hancur sendiri bersama dengan egonya,negatif
merusak produk sendiri di kritik gak mw   sebenernya nex produk di koreksi lagi oppo,negatif
definitely a deal breaker for any oppo purchases in the future,negatif
 aseli ada logo apple nya,negatif
bahasanya mix gitu.. aneh dengarnya..,negatif
bang ajarin pesan mackbook tanpa logo apple di depan dong,negatif
apa yang diharapkan sama brand yang menghayal kalau diri mereka lebih baik dari yang lain?,negatif
"compare mulu, benerin dulu produk sendiri biar kgk malu",negatif
tahun 2024 layar lengkung lo banggain??? kemana aja lo opo. tuh  2 jutaan udah ada,negatif
"aneh ini, membela produk sendiri dgn menjatuhkan produk saingan, wkwkwk opo opo.",negatif
haduhh bang bang,negatif
alasan memakai chipset ini adalah &quot; lebih murah dari yang lain&quot;,negatif
logo apel krowaknya mana,negatif
hahaha hp badut,negatif
wkwkwk logo apple nya sekarang disensor ya?? udah dobel blunder ni oppo,negatif
bukannya instropeksi malah ngajak duel brand laen  jelas2 lebih bagus,negatif
loh loh loh logo apple nya ko diilangin,negatif
halah jemboddd,negatif
logo apple nya mana akwokaowkaowkaowkwo,negatif
"bang bahasa bikin gak nyaman campur aduk, kenapa gak bahasa inggris aja kalo pengin inggris, atau , bahasa indo indo aja, udah baca terjemahannya eee dia bahasa indo, udah dengerin b.indo eee bahasa inggris lagi lihat terjemahan lagi, sekalian b.inggris terus kenapa biar sekalian baca teks aja gak bikin bingung , katanya cintai ploduk2... indonesia jadi kalo di indo bahasa indo aja lah, hadehhh",negatif
lah jadi tambah tulul....,negatif
"anyway, gue pake youtube mod dan gue bisa liat jumlah dislikenya. video ini  dislike udah 3300. mari perbanyak",negatif
goodluck tim humas dan marketingnya oppo nyapuin ego atasan kalian sendiri,negatif
"ini ya dengerin ya, jangan salahin salesnya klo penjualan bbq group hancur, petingginya aja modelan kek gini, gimana kapal mau berlayar kalo nahkodanya aja modelan gini",negatif
l marketing l cmo laptop macbook -1 sensor,negatif
"udah mah cmo nya boti ngegay najiss. ditambah denial produknya, bikin video tapi nampilin macbook + airpod, konten nya utk siapa? region mana ? gak usah dicampur2 bahasa nya dari situ udah menunjukkan sebagai marketing lu gak konsisten dalam bahasa bingung tuh ibu2  liat nih video, pengalaman jadi cmo berapa tahun??   ini mah lebih parah daripada gorosei di anime one piece. denial nya, ngomong muter balik.",negatif
blunder fatal oppo indonesia penujukan dia sebagai jubir untuk menjelaskan ngalor ngidul,negatif
seriously uploading this ?,negatif
dateng cuma buat dislike doang awoakwkaok absen adick&quot; siapa  dateng cuma dislike doang,negatif
"bikin hp di segala jenis kelas(entry,mid,flashgip) masih aja membadut,mas oppo mas oppo",negatif
kapan oppo bisa tobat,negatif
i like my own funeral,negatif
gak habis fikri  ngakak!,negatif
25.984 views 251 likes 3.240 dislikes（93%） 1.837 comments,negatif
aura boti kuat banget,negatif
tr4sh,negatif
apakah menjadi penutup badut 2024 ?,negatif
ini apasih,negatif
"social media manager :  &quot;kita buat konten tanggapan reviewer brand kita yaaa, talentnya cmo kita, ini briefnya kasih promter didepannya juga, nanti cmo kita kasih tanggapan yang lucu&quot;",negatif
blunder,negatif
udah kena sensor,negatif
cmo magang kah beliau ini?,negatif
"kalau mau pake mediatek, belajar sama pawangnya ya bang... soal cipset mreka tidak pernah dapat kritikan... si king memang g ada lawan kalau soal mediatek...",negatif
gali kuburan sendiri,negatif
"gara² nyantech jd kesini.  kira video apaan, ternyata video pembelaan terhadap saran/kritik dari reviewer indo.",negatif
"kalian ini sudah besar, david &amp; reviewer lain ini ngasih tau dan ngasih jalan buat kalian, karena pov david sebagai konsumer. orang-orang juga sudah paham kualitas handphone.  terus video ini poinnya apa? reacting video reviewer, tapi ngeblame kompetitor? ngakak",negatif
"gak heran sales sales hape ini di pasaran pada maksa banget, ternyata sekelas petinggi aja udah kayak begini anti kritik dan suka nyenggol brand brand lain(walaupun disensor editor)",negatif
hp elekkkk,negatif
logo apple hijau,negatif
tech reviewer di react sama bagian marketing ya begini lah. kenapa gk cto nya yang react?,negatif
"cmo kok kaya dong0 gini sih, bener2 gbs narik kesimpulan dari kritik tech reviewer",negatif
kesini cuma mau klik dislike,negatif
blunder,negatif
kayakanya dia kerja di situ pakek orang dalam,negatif
"di tahun 2024 masih aja badmouth brand kompetitor, what a disaster move from the so called cmo",negatif
"marketing setelah lihat video david : bangstttt siapa sih  ngerancang hape burik ginian tapi di suruh jual di harga tinggi. gini kan marketing yang susah, gimana nih cara ngrcounter nya.   eh pas ngecounter malah blunder",negatif
"oh come on, r u kidding me? tackle the opinion of the most respectable reviewer like this? selfish ain’t save you",negatif
"blunder oppo indo nih bikin video begini, harusnya tetep calm aja, toh memang mungkin pasar marketnya beda... memang pasar indo msh nyasar performance to price dan kalo dibuat pembelaan kyk bgini bukan jadi positif malah jadi negatif.. gentle saja akui butuh perbaikan bukan malah di defend dan disanggah dengan another miss proof... haduh pr oppo kudu berbenah nih",negatif
video macbook masih ada,negatif
0ddo selalu menyalahkan brand lain,negatif
"minimal perbaikin spek dulu lah,jangan gembar gembor iklan durability militer tapi pengoprasian masih setara jalannya siput di tembok",negatif
"padahal inti dr review gadgetin itu harga jual nya gk sesuai sma  d dapet, klo harga nya d 8jtan mungkin masih worth it, buat oppo jgn anti kritik, krna review mereka itu objektif dr penilaian mereka, klo oppo menurut oppo si david gk objektif &amp;  lainnya objektif berarti penilaian oppo  malah subjektif krna mengambil kritik  paling ringan",negatif
njir nyewa bajerr wkwkwkw,negatif
kocak lo,negatif
tek piti koe nang nyong,negatif
"yuhuu mana tim pr nyaa, masa cmo bikin konten ga di briefing wkwkwkwkwkwk kasian kan jadi badut of the yearr",negatif
"blunder lo ,ah payah",negatif
lucu bener ini.,negatif
badut of the year,negatif
wkwkwk,negatif
pacul,negatif
"iyakah sayang ? yang di bahas apa jawabannya kemana, kagak nyambung ",negatif
ini beneran channel official nya oppo? ampas bgt,negatif
"pengguna oppo adalah puncak kekonyolan tertinggi dlm memlih hp , kecuali flagshipnya",negatif
"ngomong apa sih bang.  dikritik apa,  dijelasin apa ",negatif
lebih setuju david sih,negatif
"laptop apple bang kok bisa, kok di blur logo apple nya",negatif
"ngapain tuh di sensor, kalo mau baanding yang terang aja sih nanggung",negatif
"3k dislike, wkwkwkk",negatif
apple bang laptopnya,negatif
kesini gegara bang pandji,negatif
pansos buat rame2 aja kan oppo,negatif
apasih ini bahasa kok di campur campur,negatif
"katanya video ini udh didislike sampai 2.6 ribu, kalo gak percaya, install add on nya, dan cek sendiri",negatif
apa cuma gw doang yang gk pernah beli oppo?,negatif
lu nya aja pake macbook,negatif
emang oppo bisa bikin laptop sendiri?,negatif
"​@@aethersx2ada tuh tablet nya, knp ga pake tab aja? ",negatif
hahaaha kamu blunder besar oppo,negatif
kutipan reviewer nya kebanyakan negatif nya daripada positif nya,negatif
"kebanyakan komen reviewer yang dipilih di video ini yang negatif2 semua, padahal di beberapa section juga muji hape nya",negatif
"yang dicomplain haptic feedback tapi ngeles ke layar dan ngejual performa sambil compare ke brand lain   pas performanya ketahuan ampas malah ngunggulin ai nya, di review lain ai nya ternyata masih banyak  cacat juga tpi masih kekeh bawa² kelas flagship   anda cma bisa main dikelas entry level dimna pasar anda itu ibu dan bapak² gaptek. membawa gimmick blablabla dengan harga flagship tpi kualitas masih dibawah midrange itu harusnya dari awal standard anda diturunin",negatif
dan paas nunggulin ai ternyata masih banyak kekurangan,negatif
blunder terbesar tahun ini wkwkwk,negatif
"<a href=""    update like&amp;disslike  like = 245,  disslike = 3,1 rb",negatif
anjayyy,negatif
bro just stop..,negatif
pengen &quot;nyapu&quot; malah &quot;disapu&quot; dari pasar wkwk,negatif
vidio  seharusnya gk perlu ada,negatif
"<a href=""  se&quot;buah&quot; inovasi",negatif
woow  angkuhnya..,negatif
bye oppo,negatif
nyesel beli produk oppo gak cocok buat game,negatif
saya bantu disslike,negatif
hp taik ogah bgt beli oppo,negatif
"next level denial, senggol sana sini ga sadar diri",negatif
cuihhh,negatif
mas oppo mas oppo,negatif
"ngomong indo indo, inggris inggris  gajelas",negatif
sumpah pas mau upgrade hp gk mau beli oppo lagi kayaknya,negatif
logo pisang di laptop nya mana ?,negatif
editornya kena sp1 wkwk,negatif
@@kang_tsm di pecat sih kayaknya,negatif
"yah blunder, cafe lu tuh urusin, sepi mulu",negatif
blunder moments,negatif
kalian tau kenapa komen kalian tidak ada  di balas? ya sederhana krn dia pkir dia profesional . pdhl kalau di debatin dia cuma bualan angin. begitu banyak kritik dia tidak tanggapin. kenapa ? krn konsumen tidak di anggap.,negatif
ngomong campur² dongo,negatif
reviewer netral vs reviewer bayaran    mana  lebih dipercaya konsumen?,negatif
logo applenya sudah hilang ternyata,negatif
review david gadgetin,negatif
hahahaha anjirr genzi skali ni oppo,negatif
agak lawak sih,negatif
dislikenya gk muncul wkwkwk,negatif
gak menerima kritikan la maunya apa ni brand,negatif
ngomong blepotan kek taik. sebaiknya senam mulut dulu sebelum record dan bahasa lu bahasa berak gaje,negatif
"<a href="" logo apple",negatif
digging your own grave ahh video,negatif
di bandingin sama exynos <b>tidak cepet panas saat bermain game</b> trus di notice performa gamming kurang bilangnya ga melulu harus game hadehh ngalor ngidul aokwow,negatif
masih terpantau 3k dislike,negatif
beli es teh dulu kalau ramai balik lagi!!,negatif
liat banyak yang dislike daripada yang like,negatif
elu aja pake macbook kocak amat jadi manusia,negatif
"oppo indonesia tapi so pake bahasa inggris , kenapa ga upload di oppo inggris",negatif
oppo global aja sekalian,negatif
dongo banget sumpah bahas a di jawab z,negatif
bro menggali lubang kuburan nya sendiri,negatif
"ini channel oppo indonesia, lu harus ngomong indo bngst , bad marketing, makan tuh pake produk apple",negatif
wkwk,negatif
aku kasih gilok satu² biar seru ahh,negatif
"dislike count : 4121   date: 17.27 (gmt+7) , 10 oct 2024",negatif
orang marketing kok nolak kritik reviewer tanpa mereka merk kalian cuma numpang lewat di pasar handphone,negatif
"sudah diklarifikasi oppo, bpak ini bukan dari pihak oppo melainkan dari tim marketing smartphone lain yang mau menjatuhkan oppo. terimakasih ",negatif
lu kira ini channel siapa kocak??,negatif
@@quit2309 strike 1 ikan,negatif
lawak,negatif
dapat 2 ikan ni wkwkwkw,negatif
@@maskurbellamy njir ngeprank,negatif
saampah,negatif
udah pasti ini bakal (censored),negatif
bahasa berak,negatif
"hp oppo adalah hp  sangat over price, sangat tidak worth it :v",negatif
" komen hate pada kenapa dah? nih cmo seems like a really nice guy trying to do his job. that’s all. kesalahannya ya cuma mention brand lain, tp ngga terlalu masalah karena disensor juga.",negatif
sales detect,negatif
sensor ? dari exytod aja ketahuan itu processor dipake hp apa,negatif
miskin amat sampe mau nyepong oppo,negatif
info loker jadi buzzer oppo bg,negatif
&quot;exynos&quot; itu udah brand lain,negatif
l move owen,negatif
awowkowkw banyak buzzer,negatif
oppo oppo,negatif
udh di sensor njir macbook nya kagak ada lagi,negatif
"tapi ciri khas macbook air masih ada, 2 colokan usb c <a href="" ",negatif
saya sih lebih percaya bang david,negatif
&quot;targer pasarnya bukan kalian&quot;  ya udah siapa?  apa emg g punya pasar. jadi orang kok ngehe .,negatif
wmwkwk bye bye oppo mungkin besok bisa jualan celana dalam atau kaos polos di albania selatan,negatif
kok pakek apple pak,negatif
ntar tunggu 12 abad lagi oppo bikin laptop pake chip dimensity wkwkwkwkwkwk,negatif
"kebayang kan gimana nanti kalau hapenya ada masalah, misal claim garansi, pimpinannya aja gak bisa disalahin, apalagi ntar staff2nya pas claim garansi, kabur dari oppo. wkwk",negatif
that is macbook?,negatif
jadi hp apa yang perforamnce nya bagus?,negatif
"denger nya kaya aneh karena bahasanya di satuin,kan ini oppo indonesia kalo boleh saran sih pake full indo aja biar mudah di mengerti kalo mw sekalian inggis nya inggis full",negatif
lu aja pake macbook pak kurang bagus editornya,negatif
gak nyambung arahnya kemana malah di plesetin ke brand lain,negatif
lebih baik diem daripada anda ngomong,negatif
"hp lawak all oppo lawak ,,manis depan doang",negatif
"wkwkakakka, views nya 23rb an, like nya ga nyampe 1k, dislike nya ga nanggung2 banyaknya wkwkwk. udh produknya banyak kekurangan malah nyindir brand sebelah  jelas brand sebelah itu jatuhnya ke price to perfomance dan dapat perfomance  jauh2 lebih besar daripada reno12p5g",negatif
wkwkw logo apple nya udah di blur,negatif
oh,negatif
gak brand gak cmo sama sama ngebadut,negatif
badut badut badut badutt,negatif
big l,negatif
"&quot;listening to our consumer&#39;s voice and review&quot; wow, some b*ll sh*t  ngomongin fokus performa, tapi spek badut . tapi anehnya bisa top smartphone brand di indo lho ",negatif
"kasih tim marketingnya, kerja kerasnya dihancurin",negatif
"@@pelarihandal9232 wkwkwk, mau kasihan tapi faktos ",negatif
@@ahmadrifqy6135 an jirr ketinggalan,negatif
"dari awal oppo ada, saya ga pernah beli produk oppo, alasannya, harga dan performa tidak sebanding, harga diatas kompetitor, tapi performa dibawah mereka",negatif
ai ai yang di banggin ai apa tuh,negatif
ini orang indonesia atau malay/singapura? inggrisnya campur2 gt. klo indo kenapa ga full bahasa indonesia aja.  terus apakah etis cmo gini? nyebut merk lain pula. ckckckck,negatif
alah bang hp elu cocoknya buat kaum gaptek sorry la yaw,negatif
tak sanggup menerima fakta seterang ini,negatif
cocok buat fake / cewe cewe yang gk mau makeup soalnya pakai ini instant langsung makin cantik,negatif
"gasuah sok inggris dek, ini indonesia",negatif
tumben di sensor merek yang disinggung awokwokwokwok,negatif
exynos nya gak disensor wkwkwk,negatif
abis nih orang dibuldozer warga indonesah,negatif
gblk gblk,negatif
"<a href="" “kenapa kita pilih chipset ini (d7300)” yak, karena murah, bisa untung gede hehe.",negatif
"padahal kalau pake 8300 masih kita wajarin karena oppo  ada juga pertimbangan buat beli pas harganya udah drop, kalau pake 8300",negatif
"@@pelarihandal9232 misal pake 8200 pun gapapa, atau 7+ gen 2 deh. lha ini d7300. yang menjadi andalan praktis cuma fitur ai writer. cmo nya ga tau kah kalo chatgpt, gemini, bisa dipakai gratis dan yang pasti hasilnya lebih bagus dibanding oppo punya? &quot;never put a price to a feature that is already free&quot;.",negatif
andai pake china version yang 9300 ....,negatif
"padahal  ditanyain david soal keluhan mesin getar haptic feedback loh, eh cmo jawab fokus performa, blunder gk tuh",negatif
hebat kagak tutup komen,negatif
bodoamat emang dr awal muncul gak ada sedikitpun minat buat beli dan pakai merk oppo,negatif
"makanya ngotak dikit. dikritik malah bilangnya jelek2in. maunya dipuji trus kl gausuka maunya didiemin atau diabaikan. mental kalau gakuat jgn bikin produk,  namanya produk pasti ada pro ama kontra",negatif
ga usah di hina pun sudah hin*,negatif
"bebal, blunder, gak nyambung.",negatif
"pakek bahasa indonesia aja bang,,gk perlu campur² pakek bahasa inggris gitu",negatif
anti kritik kayak pemerintah aja lo,negatif
"s23 fe pakai exynos 2200 yang di sensor di video ini, pakai usb 3.xx bisa display out. bisa baca tulis external memory secara cepat, bahkan buka file video 4k langsung tanpa pindah data dari ext storage bisa dilakukan. reno 12 pakai usb 2.0 bisa apa? charger doank?",negatif
"ngirim data, 1gb sejam ",negatif
@@wallcroftext99modyar,negatif
"udah donk hate comment nya, saya capek nih nge-like in satu2 ",negatif
memalukan,negatif
wah ada badut baru nih,negatif
biar kan dia memasak,negatif
govlok . mw gak gw gantiin posisi org  d vidio. gw kasih tw cara agar hp lu laris,negatif
bahasa jaksel,negatif
"ga nyambung lo om bahas apa jawab apa, lucuk harga 9 juga ke kelas hp harga 5jt an",negatif
"biasanya produk lain  nyepong konsumen fanatiknya, ini malah nyepong diri sendiri",negatif
loh logo apple&#39;a udh ga ad,negatif
aduh blunder nih oppo,negatif
logo apple nya dihilangin atau ganti laptop ni? sangat niat,negatif
oh jadi ini yang bilang chip d7300 lebih powerfull dibandingkan exy 2200?,negatif
oppo blunder,negatif
editornya gemeteran di pojokan nunggu dipanggil ke ruangan si boss,negatif
tolong buat bran lain jgn blunder kek gini yah,negatif
"gali kuburan sendiri ini mah, awokawok",negatif
anjr lah gw ga berhenti ketawa nontonin video ini. fix penghargaan boty (badut of the year) lu  pegang sii tahun ini,negatif
"terakhir make oppo 2019 lalu, sekarang full pake produk os buah sama stock android, soalnya oppo harganya dan spek tidak sebanding ",negatif
tpi mulut salesnya manis beudd,negatif
@@quit2309 mereka lebih milih ngeluarin uang lebih buat sales ketimbang ningkatin produk mereka,negatif
muka lu garing bang,negatif
oppo anti kritik,negatif
"fix brand ini bakalan jadi pemenang boty (badut of the year). congrats buat oppo indonesia, lawakan anda terbaik (tapi hp dan harga  ditawarkan ampas asli ampas)",negatif
badut terlawak,negatif
gw bacanya boti,negatif
boty ga tuh wkwkwk,negatif
awoakwok banyak buzzer  umur akun yt nya dah bertahun-tahun  ada  baru belasan jam palingan bot,negatif
david bilang apa dia jawab apa,negatif
"<a href=""",negatif
bundir bang?,negatif
sebenarnya produk oppo itu bagus2...  tetapi tidak dengan harganya..  apalagi.. seri mid ke low...,negatif
"bodoamat, lebih percaya omongan dari reviewer ketimbang peodusen",negatif
ego is the enemy..,negatif
ternyata logo aple nya udah di apus  ngakak banget liat di x tadi,negatif
sangat kocakkkk atau dongo,negatif
50/50,negatif
langsung hilang logo buahnya walaupun logo buahnya hilang/disensor tapi masih ada ciri khas laptop macbook,negatif
"yaitu 2 colokan usb c khas macbook air <a href="" ",negatif
video perusahaan yang tydack proper,negatif
lah emang knp!?,negatif
@@sarihotansinaga2935 ini kan termasuk videonya oppo masak pake brand diluar oppo. mikir lahh,negatif
@@quit2309 setidaknya pake oppo pad 2 lah,negatif
"not consisten u argument , sekelas cmo gk ngerti product knowledge dan market yang baik? what the hell",negatif
yahha hp ampas,negatif
mungkin dia menganggap semua orang di indonesia gapaham teknologi ya,negatif
notebooknya aja apel coak nyenggol exynos lagi,negatif
who are looking for the apple logo here?,negatif
"di menit <a href="" bang ada wana hitam di leptopnya gak di blur bagus",negatif
oh shite... hir wi go agen,negatif
pakenya macbook,negatif
ikut nimbrung bang,negatif
"po oppo, blunder awoakwwok siap² angkat kaki dari indo",negatif
cmo model salty begitu? somebody sack him please.. trully rubbish cmo,negatif
 bener ma &quot;our cmo yapping to tech reviewer&quot;,negatif
untung pake renot,negatif
kocak gaming,negatif
gaterima fakta,negatif
"wkwkkwkw, udah pengetahuan umum oppo itu overpriced",negatif
"2,6k dislike awowkok",negatif
mampus d hujat lo.,negatif
eh ilang logo buahnya,negatif
makanya sy gk pernah pake oppo,negatif
"bilang aja, &quot;kami fokus bayar sales&quot;.",negatif
"saya ga pernah pake oppo dari zaman dibeliin sampe skrg bisa beli sendiri. ogah banget pake oppo, kasian banget temen  pake oppo notif memori penuh ga ilang2. ",negatif
blunder parah,negatif
ngomong buat siapa? kok pake bahasa inggris,negatif
"childish ya, lgsg sewa buzzer wkwkwk.  ini nih saatnya oppo bangkrut, anti kritik begini",negatif
"kualitas ampas malah nyenggol produk laen, g sadar diri mana pake bahasa kentut lagi",negatif
itu macbook logo apple nya kok di ilangin,negatif
jejak digital nih,negatif
"pertanyaan pertama, kenapa pake mesin getar murah di harga 9 juta. jawabannya fokus ke performa dan layar flagship kedua kenapa pake chipset yang gak sesuai sama harga. jawabannya karena ada kolaborasi dgn mediatek dan ingin seimbang antara performa dan efisiensi  ketiga banyak hape lain  lebih kencang di harga yang sama, jawabannya reno12 series ini untuk gaming harian dan desainnya yang &quot;cantik&quot; dan kasih bnyk fitur ai  dari jawaban 1 sampai 3 ini aja kayak saling bertolak belakang",negatif
derblunderderr,negatif
"cmo oppo indonesia kelakuannya kayak begini ? aduhai bikin geli perutku nontonnya, wajar saja banyak  dislike ",negatif
"menit <a href="" tengah laptopnya ketauan banget logo apaan wkwk kurang alus, kenapa ngga pake produk sendiri si?",negatif
performa apaan? chipset lu aja ampas,negatif
"udah jelas channel nya oppo indonesia, eh pake bahasa belibet ,  pake bawa2 brand sebelah , diih ga bgt ",negatif
"bahasa kentut, cukup pake satu bahasa aja napa nggak usah di campur campur segala",negatif
produk over price..,negatif
badut badut,negatif
bro duit buzzernya kurang nih. ayo kucurin lagi buat kita!!! lu mau komen positif gak!!!,negatif
berakkkkk,negatif
gali kubur sendiri moment,negatif
calon sos,negatif
lu ngapain disini,negatif
nyasar woila,negatif
hey mana logo apelnya,negatif
bahasa kentut,negatif
lawak,negatif
awikwok banget. kelakuannya,negatif
bilang memek,negatif
siapa yang dateng ke sini cuma buat dislike doang?,negatif
se-defensif itu ya??  masih lebih suka cara kerja manajemen  dulu,negatif
l cmo sama lmao sama beda sih?,negatif
mungkin mksdnya biar lebih dekat ama konsumen dengan mendengar keluhan keluhan kalian tapi ya bagi sebagian org terkesan menjatuhkan bran lain dan emang dari kompetitor lain harga nya terlalu jauh buat di bandingkan dari segala performa dan spesifikasi,negatif
woakwoakwowk komentar buzzernya kalah banyak sama komentar netijen  bener bener ga puas,negatif
apakah dia menggunakan produk sebelah,negatif
stand up bang?,negatif
aowkaoo bahasa jaksel,negatif
"blunder blunder, blunder blunder, halah nanti juga hapus pidio, tidak semudah itu feguso jejak digital susah dihapus xixixixixixi",negatif
cmo kok denial gini sama produk mereka?,negatif
bentar lagi ilang nih video,negatif
"blunder parah dari pihak oppo , lu klo dikritik harusnya cukup diam dan berbenah bukannya bikin video nanggepin orang  ngekritik, mampus dislike nya 2k lebih ",negatif
inconsistent,negatif
"hahaha kena hujat di forum2, oppo itu terkenal spek minimum harga maximum. jumlah like juga dikit banget dibanding dislike.",negatif
gorengan &quot;,negatif
kalo gw sih malu tuh,negatif
l oppo,negatif
lawak oppo lawak banget,negatif
kocak,negatif
lawak nih oppo badut emang produk nya,negatif
wkwkwk bayangin yang reviewer nya koh kutang terus ada vidio ginian.. langsung di cekokin fakta ama kog kutang,negatif
what blud yapping about?,negatif
lo ngomong apaan,negatif
dislike nya melebihi komentar,negatif
smartphone baru dibandingin sama smartphone 2 tahun lalu,negatif
dih baper,negatif
info jadi buzzer,negatif
info jadi buzzer,negatif
memberi dislike,negatif
"gua kesini cuman pengen dislike, komen, terus sama sekali gak mau denger video ini wkwk",negatif
wkwkwk ntar di ketawain david lagi lu bang kalo rilis hp spek biasa harga nyenggol flagship,negatif
"ai writer itu untuk apa? memang serepot apa install chatgpt, trus nyari disana lalu copas ke tempat lain?",negatif
mana logo apel nya,negatif
pecat aja lah,negatif
blud pikir dengan ngomong pake bahasa kentut orang bakal peduli gitu?,negatif
ganti aja lah bosny daripada malu2in kyak gini,negatif
makin males beli oppo,negatif
bayangin klo dapit bales video ini lagi,negatif
jgn beli oppo aja lah,negatif
logo apple nya mana koh,negatif
wkwkw sama aja dgn honda sama2 tukang ngeles,negatif
bentar lagi di takedown ini video....silahkan diamankan selama masih bisa,negatif
info loker jadi buzzer..,negatif
"dislike gan, pembahasan mu ga nyambung",negatif
wkwk,negatif
apakah oppo akan blunder? karena keegoisnya?   yup tinggal nunggu saja kalau performanya gini² aja,negatif
gk nyambung anjir,negatif
macbook nya itu bagus ga,negatif
bro berpikir dia sedang berada di konter,negatif
gw yakin lu habis sini dipecat bro...  bareng sama tim kreatif lu  gak kreatif bikin konten begini,negatif
a not so smart strategy coming from a cmo,negatif
this dude talking about bullsh*t i really regret buying this damn product,negatif
shitty strategy coming from a cmo,negatif
price to performanceless,negatif
"nitip sendal, kalo rame balik lagi",negatif
mana buzzernya. wkwkwkwkw,negatif
badut of the week,negatif
turunkan londo ireng ini dari jabatan cmo mu wahai para stockholders oppo,negatif
tapi dia putih bukan ireng,negatif
bro wake up 2k dislikes,negatif
detik berapa ges lupa sensor,negatif
"gue ingt dulu oppo awal rilis utk  suka selfie2, sekarang gue merasa oppo kehilangan arah mau nya kemana? semua serba nanggung",negatif
oalah patrick,negatif
dih logo apple nya disensor wakakakakakakaka,negatif
blunder blunder,negatif
"orang² sekelas c level kok gini???  itu staff² pr, markom, dibawah dituntut naikin citra biar dongkrak marketshare, tp cmo nya malah blunder   staff oppo div. marketing be like woo djancokkkk ",negatif
"pernah pake oppo sekali, dan itu juga terakhir kalinya saya pake hp oppo",negatif
"cmo orang dalam pakai produk apel... benar benar badut ....kasihan induk pusat oppo pgn jadi terbaik, tapi ad yang orang dalam wkwkwk",negatif
"mungkin ybs agen nya buah, sengaja ditaro buat jadi ️ di opop",negatif
harga sekelas flagship barangnya sekelas lite   singa sedang menggali kuburnya sendiri,negatif
